replication,seed,common_cause_transition_factor,status,objective_value,first_asset,max_failure_probability_at_maintenance
0,20260901,0.9898854943509575,OPTIMAL,177521.4986596617,104,0.5622421794481212
1,20260901,1.1297339061577532,OPTIMAL,195169.15687095243,104,0.614725869151635
2,20260901,1.2443562650927864,OPTIMAL,209539.20238468805,104,0.6548539078787442
3,20260901,1.2023206059641618,OPTIMAL,204282.47041568905,104,0.6404398511022857
4,20260901,0.9334606761919442,OPTIMAL,170383.91403564977,104,0.5399697699791624
5,20260901,1.0182884260469718,OPTIMAL,181112.1299802081,104,0.5732149852169913
6,20260901,1.2482195114767307,OPTIMAL,210021.44441902038,104,0.6561610575195306
7,20260901,0.8504577584293506,OPTIMAL,159884.64189876473,104,0.5060601738356971
8,20260901,0.8470917631365128,OPTIMAL,159459.1226681256,104,0.5046562566627228
9,20260901,1.179369624102668,OPTIMAL,201405.52122995202,104,0.6324222365028024
10,20260901,1.5695643392651302,OPTIMAL,249441.96012843095,104,0.7545405290128856
11,20260901,0.55,OPTIMAL,121914.22307978652,104,0.37190282
12,20260901,0.9740787126266939,OPTIMAL,175522.42544383203,104,0.5560663955894574
13,20260901,0.8043589050626312,OPTIMAL,154060.23073094265,104,0.4866377958915089
14,20260901,1.0645017262438679,OPTIMAL,186948.5322870107,104,0.5907269203598645
15,20260901,0.8921094873609162,OPTIMAL,165152.24042257498,104,0.5232469300983138
16,20260901,0.9563440744175179,OPTIMAL,173279.05059317968,104,0.5490784804628175
17,20260901,1.1064029078467854,OPTIMAL,192231.80690263287,104,0.6062391975406247
18,20260901,1.0481300237607245,OPTIMAL,184881.88103650478,104,0.5845714573311243
19,20260901,1.2062560654387826,OPTIMAL,204775.32291599037,104,0.6418041719311451
20,20260901,0.8698247562442621,OPTIMAL,162333.51544792322,104,0.5140943207597682
21,20260901,0.7671673960805606,OPTIMAL,149367.9051805493,104,0.4706614911730148
22,20260901,0.6184435174040489,OPTIMAL,130704.46302216669,104,0.4040361412308643
23,20260901,0.9639777061941833,OPTIMAL,174244.73223671928,104,0.5520939687823583
24,20260901,0.9315304564639483,OPTIMAL,170139.69669509024,104,0.5391967050143072
25,20260901,0.9009483119829518,OPTIMAL,166270.42358912062,104,0.5268498992952476
26,20260901,1.1038755336265347,OPTIMAL,191913.4090613313,104,0.605313390779861
27,20260901,0.7717620654798242,OPTIMAL,149947.20230412975,104,0.4726500490991955
28,20260901,0.8868323869586264,OPTIMAL,164484.68773345224,104,0.5210884491810316
29,20260901,1.2976821007338704,OPTIMAL,216181.56768711083,104,0.672635773404813
30,20260901,0.7606302760498374,OPTIMAL,148543.91621698925,104,0.4678250404075043
31,20260901,0.8625692065178899,OPTIMAL,161415.97995951798,104,0.5110931528666588
32,20260901,1.3899414008255335,OPTIMAL,227592.2873528052,104,0.7020701131008191
33,20260901,1.6962466972195605,OPTIMAL,264497.200043672,104,0.7877034621964378
34,20260901,0.5503741309054071,OPTIMAL,121962.83149887239,104,0.37208099151893886
35,20260901,0.7007019047414477,OPTIMAL,141003.54848438408,104,0.4414277104220763
36,20260901,0.990641385625805,OPTIMAL,177617.08303802292,104,0.562536269880317
37,20260901,1.0154353097494153,OPTIMAL,180751.54798315905,104,0.5721199698212694
38,20260901,0.9610318857890264,OPTIMAL,173872.08367753465,104,0.5509316586657841
39,20260901,0.9785478014914345,OPTIMAL,176087.67603837757,104,0.5578175074666255
40,20260901,0.55,OPTIMAL,121914.22307978652,104,0.37190282
41,20260901,0.8502159032203044,OPTIMAL,159854.0662322562,104,0.5059593736911122
42,20260901,0.6059243551081368,OPTIMAL,129143.40164521722,104,0.3982278959037021
